,name,host_id,host_name,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_ct,days_as_host,bathrooms,hrr
125,#312 Furnished Private Apt.,17736560,ﾀﾂﾛｳ (Taturo),Superhost,10.0,35.7348,139.63141,Entire apartment,Entire home/apt,2,1.0,1.0,6579.0,3,1125,90,24,4.75,4.88,4.71,4.92,4.92,4.54,4.58,0.34,13,2571,1.0,1.0
126,One Room Apartment with own bathroom (A3),25865449,Seungkwan,Non-Superhost,19.0,35.69955,139.70423,Entire apartment,Entire home/apt,3,1.0,3.0,11514.0,3,30,322,16,4.31,4.69,4.75,4.81,4.69,4.63,4.0,0.43,30,2384,1.0,1.0
127,BLENDIA Share house : Homestay #1,29311815,Motoki,Non-Superhost,7.0,35.62619,139.70798,Shared room in house,Shared room,4,1.0,2.0,2074.0,1,1125,335,210,4.82,4.83,4.56,4.83,4.87,4.54,4.82,2.73,27,2320,1.0,0.4
128,Shinjuku Hyakunincho 3mins to JR station,21504159,Michi,Non-Superhost,23.0,35.70035,139.6967,Entire apartment,Entire home/apt,5,1.0,3.0,5800.0,30,180,95,121,4.38,4.61,4.46,4.71,4.63,4.66,4.45,1.57,31,2497,1.0,0.9
129,"A cozy room  Shinjuku, Shibuya and Shimokitazawa!",15282125,Kanako,Superhost,1.0,35.66432,139.65839,Private room in house,Private room,2,1.0,2.0,6000.0,2,180,177,56,4.98,5.0,5.0,5.0,5.0,4.96,4.95,0.87,35,2630,1.0,1.0
130,東京駅まで13分、新小岩駅徒歩3分のリッチ！隣商店街あり、便利！,29410164,JCK Residence,Non-Superhost,4.0,35.71679,139.85669,Entire apartment,Entire home/apt,6,2.0,5.0,15000.0,3,1125,322,90,4.43,4.57,4.65,4.7,4.7,4.74,4.53,1.19,21,2319,1.0,1.0
131,KCAM,7989630,Kouki,Superhost,1.0,35.70841,139.56843,Private room in house,Private room,1,1.0,1.0,26893.0,4,1125,17,55,4.96,4.95,4.98,4.94,5.0,4.8,4.93,0.73,22,2905,1.0,1.0
132,"便利,干净,convenient,cheap,center Tokyo",24087904,Rinrin,Non-Superhost,6.0,35.7284,139.76512,Entire house,Entire home/apt,3,1.0,2.0,29143.0,1,1125,365,190,4.63,4.76,4.71,4.82,4.85,4.76,4.7,2.48,13,2431,1.0,0.75
133,BLENDIA Share house : Homestay #2,29311815,Motoki,Non-Superhost,7.0,35.62578,139.70807,Shared room in house,Shared room,4,1.0,2.0,2057.0,1,1125,68,183,4.8,4.8,4.57,4.75,4.87,4.58,4.78,2.38,25,2320,1.0,0.4
134,BLENDIA Share house : Homestay #3,29311815,Motoki,Non-Superhost,7.0,35.6259,139.70805,Shared room in house,Shared room,4,1.0,2.0,2057.0,1,1125,344,181,4.8,4.8,4.53,4.77,4.86,4.51,4.81,2.35,25,2320,1.0,0.4
135,Enjoy local life in Tokyo,29758027,Chieko,Superhost,1.0,35.56976,139.69158,Entire house,Entire home/apt,3,1.0,3.0,5000.0,3,1125,182,132,4.85,4.91,4.82,4.97,4.97,4.69,4.87,1.74,43,2313,1.0,1.0
136,Hiroo & Ebisu Cozy Room 1,19615511,Panda,Non-Superhost,6.0,35.64757,139.71994,Entire apartment,Entire home/apt,2,1.0,1.0,5357.0,2,1125,9,99,4.57,4.79,4.63,4.78,4.78,4.57,4.63,1.35,19,2539,1.0,1.0
137,東京根津ステンドグラス美術館＆ゲストハウス（Since 2008),18289292,武男,Superhost,1.0,35.71934,139.76508,Private room in house,Private room,4,1.0,0.0,5300.0,1,1125,352,32,4.84,5.0,5.0,5.0,4.97,4.97,4.94,1.33,32,2560,1.0,1.0
139,"Residential area, Peaceful Traditional House 1",20307199,Hotaka,Superhost,3.0,35.76544,139.44477,Private room in house,Private room,2,1.0,1.0,4934.0,2,365,364,69,4.94,4.93,4.87,4.85,4.87,4.78,4.93,0.92,30,2526,1.0,1.0
141,"Japanese cosy vintage house, easy access in Tokyo",30745996,Chie,Non-Superhost,1.0,35.74408,139.72525,Entire house,Entire home/apt,3,2.0,2.0,7000.0,2,30,84,212,4.69,4.75,4.58,4.88,4.89,4.65,4.68,2.85,28,2296,1.0,1.0
142,3Private apartment Tokyo machida,22038803,Suda,Superhost,1.0,35.56134,139.46284,Entire apartment,Entire home/apt,3,1.0,1.0,5214.0,3,365,261,51,4.47,4.59,4.06,4.78,4.78,4.47,4.31,0.85,23,2483,1.0,1.0
143,2F Corner Room w/ Comfortable Double Bed,30840659,Guesthouse,Non-Superhost,5.0,35.76787,139.86487,Private room in house,Private room,2,1.0,1.0,3800.0,2,15,88,90,4.63,4.57,4.78,4.7,4.7,4.4,4.69,1.19,24,2295,1.0,1.0
144,"#201 Licensed. 7mins Sta,Tatami room. convinient",30883070,Takeshi,Non-Superhost,31.0,35.68285,139.81551,Private room in hostel,Private room,3,1.0,1.0,3756.0,1,90,342,319,4.58,4.73,4.73,4.79,4.71,4.44,4.63,4.5,21,2294,1.0,1.0
146,"7min to Station, Japanese style room, Free WiFi",30840659,Guesthouse,Non-Superhost,5.0,35.76776,139.86466,Private room in house,Private room,4,1.0,4.0,5213.0,2,21,88,27,4.81,4.89,4.78,4.81,4.89,4.37,4.63,0.4,25,2295,1.0,1.0
147,"Residential area, Peaceful Traditional House 3",20307199,Hotaka,Superhost,3.0,35.76676,139.44505,Hut,Entire home/apt,9,2.0,7.0,12610.0,3,1124,286,56,4.96,4.88,4.86,4.91,4.95,4.75,4.84,0.76,31,2526,1.0,1.0
149,"NO-1  Mountains,Onsen and Jp-Cuisine in Tokyo!",28596639,Tatsuhiro,Superhost,5.0,35.72939,139.28372,Private room in nature lodge,Private room,12,5.0,12.0,6000.0,1,1125,355,210,4.96,4.93,4.89,4.99,4.95,4.78,4.96,3.19,37,2332,2.0,1.0
150,Room201 Ikebukuro is 5 min by train,24219962,Hiroya,Non-Superhost,4.0,35.75787,139.72151,Private room in house,Private room,1,1.0,1.0,1971.0,4,200,87,58,4.43,4.72,4.38,4.83,4.6,4.69,4.55,0.77,17,2427,1.0,1.0
151,Fully renovated condo Nakameguro,31858645,Masafumi,Superhost,2.0,35.64086,139.70202,Entire apartment,Entire home/apt,3,1.0,1.0,13500.0,1,100,66,148,4.93,4.95,4.78,4.97,4.99,4.82,4.82,2.8,36,2279,1.0,1.0
152,Room203 Ikebukuro is 5 min by train,24219962,Hiroya,Non-Superhost,4.0,35.75788,139.72151,Private room in house,Private room,1,1.0,2.0,1900.0,5,100,88,65,4.32,4.57,4.37,4.62,4.46,4.6,4.55,0.87,22,2427,2.0,1.0
153,Room204 Ikebukuro is 5 min by train,24219962,Hiroya,Non-Superhost,4.0,35.75786,139.72151,Private room in house,Private room,2,1.0,2.0,2000.0,3,180,87,67,4.52,4.71,4.44,4.68,4.58,4.5,4.56,0.92,21,2427,2.5,1.0
154,13 min to Disneyland/akihabara,29410164,JCK Residence,Non-Superhost,4.0,35.71306,139.85559,Private room in apartment,Private room,2,1.0,2.0,5800.0,3,1125,322,69,4.62,4.7,4.68,4.78,4.84,4.83,4.51,0.92,15,2319,1.0,1.0
157,Room202 Ikebukuro is 5 min by train,24219962,Hiroya,Non-Superhost,4.0,35.75786,139.72151,Private room in house,Private room,2,1.0,2.0,2500.0,4,60,87,79,4.52,4.8,4.44,4.8,4.67,4.73,4.62,1.1,23,2427,1.5,1.0
158,The best location as a base of the sightseeing.,22031881,Hideo,Non-Superhost,1.0,35.7082,139.76897,Entire apartment,Entire home/apt,4,1.0,4.0,34800.0,1,1125,179,231,4.76,4.84,4.85,4.92,4.93,4.83,4.76,3.18,26,2483,1.0,1.0
159,（TOKYO）東京の中心！駅から徒歩1分の部屋・渋谷も原宿も浅草も最長２５分！,31936413,Mihoko,Non-Superhost,1.0,35.61434,139.71665,Private room in house,Private room,2,1.0,1.0,6500.0,1,1125,362,94,4.6,4.73,4.46,4.78,4.82,4.84,4.65,1.26,20,2278,1.0,0.0
161,SHITAMACHI BASE/Quiet new apt.room101/skytree view,33170407,Hiroyoshi,Superhost,11.0,35.71865,139.81069,Entire loft,Entire home/apt,2,1.0,2.0,11071.0,1,365,62,24,4.71,4.92,4.92,4.92,4.92,4.71,4.67,0.65,18,2261,1.0,1.0
162,5min to Ikebukuro station/ Brown Stone house,30314225,Ryo & Yuri,Superhost,2.0,35.73006,139.73093,Entire apartment,Entire home/apt,6,2.0,6.0,8300.0,2,1125,179,78,4.45,4.6,4.17,4.66,4.65,4.9,4.45,1.11,22,2304,1.0,1.0
163,Sunny House in a Leafy Street,33088758,Nayu,Non-Superhost,1.0,35.67951,139.64878,Entire house,Entire home/apt,6,1.0,2.0,26857.0,1,30,89,143,4.85,4.92,4.96,4.97,4.9,4.52,4.84,1.94,35,2262,1.0,1.0
164,Tatami/FREE portable Wifi,21858182,Eri,Non-Superhost,1.0,35.73773,139.84798,Private room in house,Private room,1,1.0,2.0,4000.0,2,60,87,158,4.9,4.94,4.88,4.94,4.96,4.73,4.88,2.21,21,2487,1.0,0.5
165,Green Apart Right In Shimokitazawa 2min walk!!,10705201,D'S Airbnb,Superhost,2.0,35.66106,139.66859,Entire apartment,Entire home/apt,3,1.0,3.0,5000.0,1,1125,172,203,4.99,4.95,4.89,5.0,4.99,4.99,4.86,2.76,33,2770,1.0,1.0
167,ชอบคนไทยHouse(ห้องแบบญี่ปุ่น),34475322,Masaru,Superhost,2.0,35.5872,139.48277,Private room in house,Private room,3,1.0,0.0,3500.0,1,1125,70,125,4.97,4.9,4.85,4.98,4.99,4.59,4.93,1.7,22,2245,1.0,1.0
168,3 room!eight beds!free wifi!,29410164,JCK Residence,Non-Superhost,4.0,35.71432,139.8557,Private room in apartment,Private room,8,3.0,8.0,23000.0,3,1125,322,25,4.54,4.63,4.63,4.78,4.79,4.52,4.48,0.36,15,2319,2.0,1.0
169,Akihabara and YANESEN is near!!!!,32764769,Koichi,Non-Superhost,4.0,35.70156,139.76818,Entire apartment,Entire home/apt,4,2.0,4.0,6000.0,5,120,246,171,4.26,4.46,4.31,4.65,4.72,4.68,4.35,2.57,18,2267,1.5,1.0
170,near shibuya quiet residential area,34561184,Toshiro,Non-Superhost,7.0,35.65191,139.66968,Private room in house,Private room,2,1.0,1.0,26980.0,1,1125,365,88,4.94,4.97,4.93,4.94,4.93,4.78,4.93,1.26,17,2243,1.5,1.0
171,"High speed internet ,8min walk from JR Osaki",5749679,Sayoko,Non-Superhost,2.0,35.61486,139.726,Entire apartment,Entire home/apt,3,1.0,1.0,6180.0,2,180,221,261,4.75,4.77,4.68,4.93,4.95,4.71,4.78,3.55,31,3030,1.0,1.0
173,Yanesen  Traditional Nagaya house,11025259,Takamitsu,Non-Superhost,1.0,35.72024,139.76607,Entire house,Entire home/apt,6,3.0,6.0,93206.0,3,1125,337,134,4.78,4.9,4.6,4.89,4.84,4.89,4.74,2.1,22,2754,1.0,1.0
174,"Ueno,Asakusa,subway2min.3BR,6BED,*Luxuary house*",22601823,Jiyoung,Non-Superhost,2.0,35.71079,139.7956,Entire apartment,Entire home/apt,12,3.0,6.0,98000.0,2,1125,346,131,4.8,4.91,4.76,4.88,4.92,4.91,4.78,1.81,38,2469,1.0,1.0
175,"★Ueno,Asakusa, subway 2min.2BR,3BED,narita51min",22601823,Jiyoung,Non-Superhost,2.0,35.71149,139.79425,Entire apartment,Entire home/apt,8,2.0,3.0,89571.0,2,1125,355,121,4.64,4.73,4.72,4.8,4.81,4.88,4.65,1.65,36,2469,1.0,1.0
176,1 hour from the airport.,35340956,Yoshio,Superhost,2.0,35.7242,139.77766,Private room in house,Private room,1,1.0,1.0,4200.0,1,1125,349,109,4.9,4.92,4.99,5.0,4.95,4.85,4.89,1.77,22,2234,1.0,1.0
177,Open Sale・Best Location Asakusa,30828383,美香,Non-Superhost,5.0,35.7155,139.79083,Entire apartment,Entire home/apt,5,1.0,2.0,5000.0,3,1125,72,196,4.84,4.89,4.86,4.94,4.95,4.82,4.84,2.73,28,2295,1.0,1.0
179,#313 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),Superhost,10.0,35.73624,139.63247,Entire apartment,Entire home/apt,2,1.0,1.0,4605.0,3,1125,90,35,4.74,4.89,4.74,4.86,4.89,4.74,4.89,0.56,13,2571,1.0,1.0
180,"Mid-Tokyo, Nature-Rich - Designer""Tiny"" House",35614067,Kan,Superhost,2.0,35.63612,139.72575,Entire house,Entire home/apt,2,1.0,1.0,33429.0,3,60,119,139,4.94,4.89,4.83,4.93,4.93,4.8,4.77,2.03,35,2230,1.0,1.0
181,"最适合家族旅游的新型民宿,期待您的光临！",35623696,巍,Non-Superhost,1.0,35.76922,139.77947,Entire townhouse,Entire home/apt,6,4.0,4.0,20000.0,2,1125,179,85,4.62,4.81,4.7,4.93,4.83,4.37,4.75,1.2,24,2230,3.0,1.0
182,"Female,Couple/Less 15min to Shibuya",26386727,Mami,Superhost,1.0,35.62302,139.70141,Private room in house,Private room,2,1.0,2.0,5000.0,1,30,33,176,4.9,4.94,4.94,4.96,4.93,4.8,4.87,2.48,44,2374,1.5,1.0
184,SHITAMACHI BASE/Quiet new apt.room103/skytree view,33170407,Hiroyoshi,Superhost,11.0,35.71848,139.81109,Entire loft,Entire home/apt,2,1.0,2.0,11071.0,1,365,74,44,4.66,4.8,4.82,4.86,4.7,4.45,4.7,0.6,18,2261,1.0,1.0
185,SHITAMACHI BASE/Quiet new apt.room201/skytree view,33170407,Hiroyoshi,Superhost,11.0,35.71893,139.81294,Entire loft,Entire home/apt,2,1.0,4.0,11071.0,1,365,98,37,4.7,4.81,4.89,4.95,4.86,4.43,4.51,0.51,18,2261,1.0,1.0
186,SHITAMACHI BASE/Quiet new apt.room202/skytree view,33170407,Hiroyoshi,Superhost,11.0,35.72,139.81074,Entire loft,Entire home/apt,2,1.0,2.0,11071.0,1,365,56,30,4.77,4.83,4.83,4.9,4.7,4.53,4.53,0.41,19,2261,1.0,1.0
189,One hour from the airport.Good access to all,35340956,Yoshio,Superhost,2.0,35.72413,139.77771,Private room in house,Private room,2,1.0,0.0,4500.0,1,1125,342,115,4.91,4.94,4.95,4.97,4.9,4.84,4.9,1.58,32,2234,1.0,1.0
191,"Woman,family&couples only.",35828905,Kanako,Superhost,1.0,35.60982,139.72068,Private room in house,Private room,3,1.0,2.0,4543.0,1,90,59,153,4.85,4.9,4.74,4.92,4.91,4.72,4.76,2.19,43,2228,1.0,1.0
192,"#301Good access 2 central Tokyo,7mins Sta",30883070,Takeshi,Non-Superhost,31.0,35.68288,139.81552,Private room in hostel,Private room,2,1.0,1.0,2485.0,1,60,353,322,4.59,4.72,4.64,4.75,4.72,4.39,4.65,4.41,17,2294,1.0,1.0
196,102Tokyo JRHiraiSt. take a walk 9minutes apartment,37012733,Mariko,Non-Superhost,3.0,35.70208,139.84227,Entire apartment,Entire home/apt,2,1.0,2.0,2500.0,11,1125,49,45,4.69,4.87,4.6,4.84,4.96,4.62,4.82,0.71,37,2213,1.0,1.0
197,traditional Japanese style house,29606498,Enomoto,Non-Superhost,1.0,35.77725,139.79232,Private room in house,Private room,2,1.0,0.0,7000.0,2,1125,179,54,4.98,4.98,4.94,5.0,5.0,4.67,4.88,0.77,19,2315,1.0,1.0
198,Condo 201 (Fully Renovated Flat in Central Tokyo),37312047,Kae,Superhost,4.0,35.65681,139.75271,Entire condominium,Entire home/apt,5,2.0,2.0,16000.0,30,120,179,66,4.89,4.86,4.94,4.97,4.97,4.9,4.81,1.05,19,2210,1.0,1.0
199,☆☆KOUENJI 5min / SHINJUKU 10min Free WiFi ☆☆,33705289,Tomomasa,Non-Superhost,3.0,35.70522,139.65431,Entire loft,Entire home/apt,2,1.0,2.0,9000.0,1,1125,279,94,4.7,4.83,4.87,4.96,4.96,4.86,4.75,1.29,17,2254,1.0,1.0
200,a) 4min walk Ikebukuro/ 78 sqm/ Free wifi/ 8BEDS,29253527,Sato,Non-Superhost,24.0,35.73334,139.70837,Entire apartment,Entire home/apt,8,3.0,8.0,9357.0,3,1125,39,136,4.64,4.74,4.57,4.76,4.76,4.69,4.62,1.88,37,2321,1.0,1.0
201,直通新宿/秋叶原/东京/成田机场/独栋整租二厕二卫 最大12人入住/步行9分天然温泉/车站接送行李,37525225,爽,Superhost,2.0,35.72358,139.85843,Entire house,Entire home/apt,12,4.0,1.0,21943.0,1,1125,179,98,4.95,4.91,4.92,4.97,4.98,4.71,4.84,2.18,32,2207,2.0,1.0
202,#212 Good access. Convenient. 7mins to Sta.,30883070,Takeshi,Non-Superhost,31.0,35.68288,139.81552,Shared room in hostel,Shared room,2,1.0,1.0,2220.0,1,60,353,270,4.48,4.67,4.72,4.76,4.72,4.43,4.56,3.71,14,2294,0.0,1.0
203,"Azabu- spacious apt,Hammock♥",37836517,Akari,Superhost,1.0,35.65612,139.73437,Entire apartment,Entire home/apt,5,1.0,3.0,40000.0,1,1125,364,211,4.84,4.83,4.83,4.85,4.83,4.95,4.68,2.91,24,2205,1.0,1.0
205,#214 Good access. Convenient. 7mins to Sta.,30883070,Takeshi,Non-Superhost,31.0,35.68288,139.81552,Shared room in hostel,Shared room,2,1.0,1.0,2186.0,1,60,344,254,4.47,4.67,4.71,4.63,4.64,4.4,4.65,3.62,18,2294,0.0,1.0
207,101Tokyo JRHirai St. take a walk9minutes apartment,37012733,Mariko,Non-Superhost,3.0,35.70157,139.84156,Entire apartment,Entire home/apt,2,1.0,2.0,2800.0,11,1125,96,63,4.62,4.9,4.68,4.89,4.81,4.81,4.74,0.88,40,2213,1.0,1.0
208,"Riversideroom Shinjuku28min, Shibuya35min 3persons",38526810,Yoshi,Non-Superhost,1.0,35.68521,139.39257,Entire apartment,Entire home/apt,3,1.0,3.0,12800.0,4,90,362,27,4.63,4.85,4.56,4.81,4.89,4.19,4.74,0.65,31,2197,1.0,1.0
210,#302 Private room. 3 people ok. 7mins from Sta.,30883070,Takeshi,Non-Superhost,31.0,35.68288,139.81552,Private room in hostel,Private room,4,1.0,2.0,4013.0,1,30,333,303,4.61,4.7,4.65,4.71,4.7,4.45,4.69,4.3,18,2294,1.0,1.0
211,#213 ToeiShinjuku&Hanzomon. Sake&tea. 7min to Sta.,30883070,Takeshi,Non-Superhost,31.0,35.68288,139.81552,Shared room in hostel,Shared room,1,1.0,0.0,1314.0,1,60,313,247,4.7,4.81,4.77,4.83,4.76,4.58,4.78,3.45,16,2294,0.0,1.0
212,#211 Good access. Convenient. 7mins to Sta.,30883070,Takeshi,Non-Superhost,31.0,35.68288,139.81552,Shared room in hostel,Shared room,1,1.0,1.0,2047.0,1,60,351,234,4.58,4.76,4.74,4.83,4.72,4.52,4.82,3.46,14,2294,0.0,1.0
215,TOP EDGE HOUSE 203,38655722,"Top Edge Co., Ltd.",Non-Superhost,14.0,35.70366,139.62997,Private room in house,Private room,3,1.0,1.0,7000.0,1,1125,0,41,4.41,4.67,4.21,4.69,4.56,4.54,4.69,0.57,21,2196,1.5,1.0
216,(和室3人)最寄駅２駅-日比谷線/半蔵門線直通－浅草/上野/秋葉原/築地/銀座 /渋谷,39969626,Yamada Jun & Chie,Superhost,3.0,35.78149,139.77846,Private room in house,Private room,3,1.0,0.0,16000.0,9,1125,89,24,4.83,4.88,4.92,4.92,4.88,4.42,4.79,0.57,40,2183,1.0,1.0
217,BLENDIA Share house : Homestay #4,29311815,Motoki,Non-Superhost,7.0,35.62622,139.70796,Shared room in house,Shared room,4,1.0,2.0,2057.0,1,1125,346,79,4.86,4.86,4.54,4.8,4.86,4.62,4.8,1.12,25,2320,1.0,0.4
218,Short wk Mejiro & Ikebuku 83sq.3BD Family House#D1,40344857,Yuko And Ken,Superhost,1.0,35.72389,139.70795,Entire house,Entire home/apt,11,3.0,10.0,23000.0,1,1125,176,219,4.68,4.79,4.5,4.88,4.94,4.76,4.67,3.07,39,2178,1.5,1.0
219,"2 minutes to Shinjuku, 3-story house",40951044,Lei,Non-Superhost,7.0,35.70309,139.70166,Entire house,Entire home/apt,11,3.0,8.0,24124.0,1,365,172,136,4.67,4.84,4.73,4.86,4.93,4.85,4.7,1.97,18,2172,2.0,1.0
220,"Nihonbasi/Imperial Palace/Akihabara,walk 15min",41516927,Yoshihito,Superhost,16.0,35.68842,139.77816,Private room in apartment,Private room,2,1.0,2.0,3858.0,1,180,161,125,4.55,4.82,4.74,4.88,4.91,4.62,4.6,2.0,18,2166,1.0,0.56
221,"Tokyo sta/Nihonbasi/Imperial Palace/Ginza, #402",41516927,Yoshihito,Superhost,16.0,35.68903,139.77667,Private room in apartment,Private room,2,1.0,1.0,3739.0,1,180,180,172,4.61,4.61,4.73,4.87,4.91,4.76,4.68,2.74,19,2166,1.0,0.56
222,"Center of Tokyo,Quite Area Location #405",41516927,Yoshihito,Superhost,16.0,35.68699,139.77643,Private room in apartment,Private room,2,1.0,2.0,15500.0,1,180,171,131,4.65,4.73,4.7,4.84,4.81,4.68,4.71,2.06,21,2166,1.0,0.56
223,TOP EDGE HOUSE 202,38655722,"Top Edge Co., Ltd.",Non-Superhost,14.0,35.70366,139.62997,Private room in house,Private room,3,1.0,1.0,7000.0,1,1125,195,28,4.18,4.64,4.0,4.79,4.61,4.5,4.32,0.4,21,2196,1.5,1.0
224,"Seidokan 205 / Quiet, entirely private room with freedom of access (own bathroom/toilet)",17694529,Hisao,Superhost,9.0,35.72671,139.782,Entire apartment,Entire home/apt,2,1.0,2.0,2500.0,1,1125,65,312,4.86,4.9,4.74,4.89,4.81,4.62,4.91,4.47,13,2571,1.0,1.0
225,"Seidokan 204/Quiet, entirely private room with freedom of access (own bathroom/toilet)",17694529,Hisao,Superhost,9.0,35.72672,139.78201,Entire apartment,Entire home/apt,2,1.0,2.0,2500.0,1,1125,79,260,4.88,4.9,4.79,4.89,4.87,4.61,4.95,3.72,13,2571,1.0,1.0
228,TOP EDGE HOUSE 102,38655722,"Top Edge Co., Ltd.",Non-Superhost,14.0,35.70366,139.62999,Private room in house,Private room,2,1.0,1.0,6000.0,1,1125,0,38,4.26,4.61,4.13,4.54,4.53,4.62,4.38,0.53,21,2196,1.5,1.0
229,100-year-old wooden house,41865642,Yuki,Non-Superhost,1.0,35.65191,139.7205,Entire townhouse,Entire home/apt,3,1.0,1.0,20000.0,3,60,0,162,4.96,4.98,4.92,4.99,4.99,4.96,4.85,2.8,21,2163,1.0,1.0
230,designer house near Shimokitazawa,24957450,Alexander,Non-Superhost,1.0,35.66913,139.65991,Entire house,Entire home/apt,3,1.0,1.0,38379.0,1,5,208,31,4.84,4.87,4.68,4.97,5.0,4.77,4.77,0.55,35,2406,1.0,1.0
233,TOP EDGE HOUSE 101,38655722,"Top Edge Co., Ltd.",Non-Superhost,14.0,35.70365,139.62997,Private room in house,Private room,2,1.0,1.0,6000.0,1,1125,196,71,4.18,4.42,3.99,4.76,4.59,4.51,4.44,1.03,21,2196,1.5,1.0
234,TOP EDGE HOUSE 103,38655722,"Top Edge Co., Ltd.",Non-Superhost,14.0,35.70365,139.62999,Private room in house,Private room,1,1.0,1.0,5000.0,1,1125,182,31,4.35,4.68,4.23,4.65,4.58,4.61,4.58,0.45,21,2196,1.5,1.0
235,High speed wifi/大江戸線 西新宿五丁目Station 3 mins / 27㎡ /,18132812,Kazumi,Non-Superhost,66.0,35.69142,139.68524,Entire apartment,Entire home/apt,3,1.0,2.0,11829.0,1,365,243,171,4.55,4.75,4.57,4.84,4.85,4.79,4.58,2.42,32,2562,1.0,1.0
237,"NO-3 The mountains,Onsen and Cuisine in Tokyo!",28596639,Tatsuhiro,Superhost,5.0,35.72927,139.28398,Private room in nature lodge,Private room,12,5.0,12.0,6000.0,1,1125,91,81,4.91,4.88,4.83,4.91,4.94,4.73,4.92,1.34,27,2332,2.0,1.0
238,"NO-2 The mountains,Onsen and Cuisine in Tokyo!",28596639,Tatsuhiro,Superhost,5.0,35.72927,139.28398,Private room in house,Private room,12,5.0,12.0,6000.0,1,1125,354,175,4.95,4.93,4.87,4.96,4.94,4.79,4.98,2.46,37,2332,2.0,1.0
241,池袋 stn.+2 BR+Shijuku 5 min+Shibuya,24575613,Momoe,Superhost,4.0,35.727,139.71273,Room in aparthotel,Entire home/apt,4,2.0,4.0,7800.0,15,360,89,91,4.63,4.78,4.81,4.81,4.82,4.75,4.69,1.28,38,2417,1.0,1.0
242,Private Studio in Central SHINJUKU !! AWESOME Loc.,13113365,Lee,Non-Superhost,3.0,35.69594,139.7055,Entire apartment,Entire home/apt,2,1.0,1.0,3686.0,1,10,79,15,4.47,4.13,4.4,4.73,4.67,4.64,4.33,0.32,20,2685,1.0,1.0
244,"High speed internet ,8min walk JR Osaki.max for 3",5749679,Sayoko,Non-Superhost,2.0,35.61533,139.72495,Entire apartment,Entire home/apt,3,1.0,2.0,4829.0,2,180,231,233,4.84,4.87,4.72,4.93,4.92,4.7,4.85,3.37,31,3030,1.0,1.0
247,Calm House near Shinjuku/Shibuya#503,43751877,Masami,Superhost,14.0,35.67949,139.67874,Entire apartment,Entire home/apt,1,1.0,1.0,7379.0,2,30,106,267,4.79,4.82,4.89,4.88,4.91,4.7,4.78,3.83,43,2141,1.0,1.0
248,Near SkyTree Aakusa Oshiage station Free wifi,43721134,Shio,Non-Superhost,3.0,35.70672,139.81335,Entire apartment,Entire home/apt,5,2.0,2.0,5500.0,2,1125,89,135,4.64,4.72,4.61,4.84,4.86,4.8,4.59,1.91,41,2142,1.0,1.0
250,East Toranomon is the Central Tokyo,43230315,Hirotake,Non-Superhost,4.0,35.66839,139.752,Entire apartment,Entire home/apt,5,2.0,2.0,17119.0,1,365,236,199,4.71,4.77,4.71,4.88,4.89,4.85,4.74,3.26,30,2147,1.5,1.0
252,Near SHIBUYA Quiet Residential Area,34561184,Toshiro,Non-Superhost,7.0,35.65192,139.66968,Private room in house,Private room,3,1.0,2.0,27980.0,1,1125,365,60,4.92,4.98,5.0,4.93,4.87,4.65,4.87,0.94,12,2243,1.5,1.0
253,Special Price☆Enjoy the huge house☆SHIMOKITA TOKYO,14382431,Kyoko,Superhost,2.0,35.66326,139.66277,Entire house,Entire home/apt,13,4.0,13.0,10000.0,3,300,279,127,4.96,4.98,4.94,4.97,4.99,4.84,4.9,1.96,30,2652,1.5,1.0
255,"Recommended for families 【go,toトラベル承認済）",44316986,Yukio,Superhost,2.0,35.59061,139.46899,Entire townhouse,Entire home/apt,9,3.0,2.0,6000.0,1,30,88,119,4.76,4.79,4.54,4.88,4.92,4.42,4.81,2.03,28,2134,1.0,1.0
257,D) 4min walk Ikebukuro/Free wifi/Direct Shinjuku,29253527,Sato,Non-Superhost,24.0,35.73332,139.70842,Entire apartment,Entire home/apt,5,1.0,4.0,7286.0,3,1125,70,69,4.55,4.53,4.57,4.84,4.81,4.66,4.59,0.98,34,2321,1.0,1.0
260,Shinjuku 2min Shinkubo 4min wiFi　sterilizer,43979015,Ohkubo,Non-Superhost,10.0,35.70158,139.704,Entire apartment,Entire home/apt,3,1.0,2.0,15000.0,1,1125,156,262,4.81,4.92,4.79,4.95,4.94,4.91,4.83,4.04,26,2138,1.0,1.0
261,b) 4min walk Ikebukuro/ 2BR/45sqm /Direct Shinjuku,29253527,Sato,Non-Superhost,24.0,35.73338,139.70837,Entire apartment,Entire home/apt,5,2.0,2.0,8571.0,2,1125,61,73,4.33,4.45,4.36,4.75,4.7,4.65,4.46,1.1,35,2321,1.0,1.0
262,Calm House near Shinjuku/Shibuya #305,43751877,Masami,Superhost,14.0,35.67949,139.67874,Entire apartment,Entire home/apt,4,1.0,3.0,13332.0,2,30,277,340,4.81,4.89,4.84,4.93,4.93,4.6,4.72,4.87,47,2141,1.0,1.0
